h3_polyfill,index,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,geometry,LAT,LONG,opt_tilt
834445fffffffff,5,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,"POLYGON ((-92.40882197021234 29.7882568765974, -91.93478938680622 30.281145000556975, -92.18540591296302 30.901966753464283, -92.9181381363641 31.0307892980122, -93.39459236635007 30.534990843034052, -93.13595107051559 29.913302560384633, -92.40882197021234 29.7882568765974))",30.40928232,-92.66364051,27
83444cfffffffff,5,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,"POLYGON ((-93.17771064982074 31.65113143450283, -92.69640319401918 32.141715991115426, -92.95689072744672 32.76028088358095, -93.70694975677463 32.88905364263, -94.19050077755728 32.395718151835744, -93.92181459579035 31.776382904517565, -93.17771064982074 31.65113143450283))",32.26991855,-93.44238047,28
834446fffffffff,5,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,"POLYGON ((-90.26205507934758 29.393936678554414, -89.78916802666802 29.876068019726645, -90.0228332474233 30.49554307350628, -90.73759676608051 30.63421790250796, -91.21354855983661 30.14923716288191, -90.97171877588485 29.528453089584996, -90.26205507934758 29.393936678554414))",30.01377644,-90.50024833,27
834440fffffffff,5,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,"POLYGON ((-91.21354855983661 30.14923716288191, -90.73759676608051 30.63421790250796, -90.98001855499942 31.25390258662085, -91.7066395361683 31.389765762886352, -92.18540591296302 30.901966753464283, -91.93478938680622 30.281145000556975, -91.21354855983661 30.14923716288191))",30.7692417,-91.46040003,28
834473fffffffff,5,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,"POLYGON ((-89.33080050129624 28.63703577277874, -88.86120577562409 29.116287935495304, -89.08631016580165 29.73505696786574, -89.78916802666802 29.876068019726645, -90.26205507934758 29.393936678554414, -90.02883293008415 28.77369543736417, -89.33080050129624 28.63703577277874))",29.25621117,-89.56051547,27
83444efffffffff,5,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,"POLYGON ((-91.95800539803801 32.00915070590773, -91.4744264324729 32.491469216001946, -91.7265202362083 33.10899485326931, -92.4706461745573 33.24526325005336, -92.95689072744672 32.76028088358095, -92.69640319401918 32.141715991115426, -91.95800539803801 32.00915070590773))",32.62701346,-92.21452975,29
832741fffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-86.15066839108712 45.21089901383898, -86.83104800131284 44.79577344582174, -86.63049330507073 44.181331990421775, -85.7691546585194 43.97718244704767, -85.09013830826513 44.38248318374426, -85.27085282449885 45.001664364101984, -86.15066839108712 45.21089901383898))",44.59395476,-85.95680816,34
832744fffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-86.76385612316132 47.084745628181196, -87.46665138254247 46.65751335362676, -87.24889677101704 46.03401162370251, -86.34938599929104 45.83255781386602, -85.6475671207757 46.24972452795303, -85.84399539960127 46.87831384010571, -86.76385612316132 47.084745628181196))",46.45865389,-86.55310807,35
832749fffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-84.57622004699658 42.54595119318308, -85.23367711992914 42.152626678764925, -85.06426190114368 41.55187639845387, -84.25536632224457 41.34033600387873, -83.60019678206457 41.72421452886994, -83.75144989279491 42.32898615695195, -84.57622004699658 42.54595119318308))",41.9429148,-84.41333809,36
83274efffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-86.63049330507073 44.181331990421775, -87.29055066840296 43.768738470563186, -87.08855782006776 43.161775403590255, -86.24505772978344 42.96249749580974, -85.58594694205833 43.36539943017474, -85.7691546585194 43.97718244704767, -86.63049330507073 44.181331990421775))",43.57182358,-86.43470456,33
83276afffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-84.5708710903555 45.408877309002314, -85.27085282449885 45.001664364101984, -85.09013830826513 44.38248318374426, -84.2297977418372 44.16620162797714, -83.53241940705863 44.563592140057764, -83.6925549741009 45.186984403186, -84.5708710903555 45.408877309002314))",44.78738418,-84.3975636,39
